ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
143,11.38830139,55.32310417,10,0,1,2.397895273,0,0.693147181,2.302595093,-9.210340372,1.00E-04,651530.5438,6133344.913,5
144,11.38829611,55.32294333,50,0,7,3.931825633,0,2.079441542,3.912025005,-9.210340372,1.945924435,651530.8227,6133327.009,10
145,11.38829333,55.32285944,12,1,2,2.564949357,0.693147181,1.098612289,2.484914983,1.00E-04,0.693197179,651530.9666,6133317.67,4
146,11.38830028,55.32296222,15,1,2,2.772588722,0.693147181,1.098612289,2.708056868,1.00E-04,0.693197179,651531.015,6133329.119,3
147,11.38830222,55.32292,66,4,8,4.204692619,1.609437912,2.197224577,4.189656257,1.386319361,2.079454042,651531.2994,6133324.426,8
148,11.38831083,55.32298667,37,2,1,3.63758616,1.098612289,0.693147181,3.610920615,0.693197179,1.00E-04,651531.5913,6133331.862,5
149,11.38830139,55.32279278,26,0,2,3.295836866,0,1.098612289,3.258100384,-9.210340372,0.693197179,651531.732,6133310.271,8
150,11.38830417,55.32283389,20,1,2,3.044522438,0.693147181,1.098612289,2.995737274,1.00E-04,0.693197179,651531.7513,6133314.851,5
151,11.38831028,55.3228775,19,0,1,2.995732274,0,0.693147181,2.944444242,-9.210340372,1.00E-04,651531.9726,6133319.716,2
152,11.38832139,55.32305583,12,1,4,2.564949357,0.693147181,1.609437912,2.484914983,1.00E-04,1.386319361,651531.9969,6133339.58,9
153,11.38831278,55.32290194,36,1,3,3.610917913,0.693147181,1.386294361,3.583521716,1.00E-04,1.098645621,651532.0379,6133322.441,4
154,11.38831,55.32281472,31,5,2,3.465735903,1.791759469,1.098612289,3.43399043,1.609457912,0.693197179,651532.1945,6133312.731,1
155,11.3883275,55.32308639,32,0,0,3.496507561,0,0,3.465739028,-9.210340372,-9.210340372,651532.268,6133342.992,2
156,11.38831028,55.32277639,18,0,0,2.944438979,0,0,2.890377313,-9.210340372,-9.210340372,651532.3584,6133308.467,1
157,11.38833139,55.32294361,25,3,3,3.258096538,1.386294361,1.386294361,3.218879825,1.098645621,1.098645621,651533.0595,6133327.117,3
158,11.38832806,55.32285944,19,1,3,2.995732274,0.693147181,1.386294361,2.944444242,1.00E-04,1.098645621,651533.1692,6133317.746,8
159,11.38833472,55.3229625,29,4,3,3.401197382,1.609437912,1.386294361,3.367299278,1.386319361,1.098645621,651533.1989,6133329.225,8
160,11.38833611,55.32279306,23,0,0,3.17805383,0,0,3.135498564,-9.210340372,-9.210340372,651533.9335,6133310.377,5
161,11.388385,55.32305639,21,1,1,3.091042453,0.693147181,0.693147181,3.0445272,1.00E-04,1.00E-04,651536.0299,6133339.78,2
162,11.38838083,55.32298694,16,2,0,2.833213344,1.098612289,0,2.772594972,0.693197179,-9.210340372,651536.0306,6133332.045,6
163,11.38838,55.3228775,14,1,2,2.708050201,0.693147181,1.098612289,2.639064472,1.00E-04,0.693197179,651536.3954,6133319.867,7
164,11.3883825,55.32290194,55,1,5,4.025351691,0.693147181,1.791759469,4.007335003,1.00E-04,1.609457912,651536.4607,6133322.592,6
165,11.38838028,55.322815,27,3,0,3.33220451,1.386294361,0,3.29584057,1.098645621,-9.210340372,651536.6515,6133312.915,5
166,11.38839667,55.32308667,60,2,0,4.110873864,1.098612289,0,4.094346229,0.693197179,-9.210340372,651536.6544,6133343.174,3
167,11.38840639,55.32310444,8,0,0,2.197224577,0,0,2.079454042,-9.210340372,-9.210340372,651537.2033,6133345.173,10
168,11.38840111,55.32294389,30,4,1,3.433987204,1.609437912,0.693147181,3.401200715,1.386319361,1.00E-04,651537.4812,6133327.299,10
169,11.38840361,55.32296167,25,1,2,3.258096538,0.693147181,1.098612289,3.218879825,1.00E-04,0.693197179,651537.5719,6133329.282,10
170,11.38839778,55.32285944,13,1,1,2.63905733,0.693147181,0.693147181,2.56495705,1.00E-04,1.00E-04,651537.592,6133317.897,9
